id,name,is_highlight,description,image,updated_at
1,HTML,False,Linguagem de marcação para estruturação de páginas web.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/html.svg,2025-04-02 20:47:55
2,CSS,False,Linguagem de estilos para definição do design e layout das páginas web.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/css.svg,2025-04-02 20:47:55
3,JavaScript,False,Linguagem de programação para interatividade em páginas web.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/javascript.svg,2025-04-02 20:47:55
4,TypeScript,True,Superset do JavaScript que adiciona tipagem estática.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/typescript.svg,2025-04-02 20:47:55
5,Node.js,True,Ambiente de execução JavaScript no lado do servidor.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/node.svg,2025-04-02 20:47:55
6,Java,True,Linguagem de programação orientada a objetos.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/java.svg,2025-04-02 20:47:55
7,Python,True,Linguagem de programação interpretada de alto nível.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/python.svg,2025-04-02 20:47:55
8,NestJS,True,Framework para construção de aplicações back-end em Node.js.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/nest.svg,2025-04-02 20:47:55
9,Express.js,False,Framework web minimalista para Node.js.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/express.svg,2025-04-02 20:47:55
10,React,True,Biblioteca JavaScript para construção de interfaces de usuário.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg,2025-04-02 20:47:55
11,Vue.js,False,Framework progressivo para construção de interfaces de usuário.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/vue.svg,2025-04-02 20:47:55
12,Angular,False,Framework front-end desenvolvido pelo Google.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/angular.svg,2025-04-02 20:47:55
13,Svelte,False,Framework para construção de interfaces reativas.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/svelte.svg,2025-04-02 20:47:55
14,PostgreSQL,False,Sistema de gerenciamento de banco de dados relacional avançado.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/postgresql.svg,2025-04-02 20:47:55
15,MongoDB,False,Banco de dados NoSQL orientado a documentos.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/mongo.svg,2025-04-02 20:47:55
16,GraphQL,False,Linguagem de consulta para APIs que permite obter apenas os dados necessários.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/graphql.svg,2025-04-02 20:47:55
17,Docker,False,"Plataforma para criação, execução e gerenciamento de containers.",https://github.com/portfolio-projetos-dev/assets/raw/main/images/docker.svg,2025-04-02 20:47:55
18,Kubernetes,False,"Sistema para automação da implantação, escalonamento e operações de containers.",https://github.com/portfolio-projetos-dev/assets/raw/main/images/kubernetes.svg,2025-04-02 20:47:55
19,Terraform,False,Ferramenta de infraestrutura como código para gerenciamento de recursos na nuvem.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/terraform.svg,2025-04-02 20:47:55
20,Firebase,False,Plataforma de desenvolvimento de aplicativos móveis e web da Google.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/firebase.svg,2025-04-02 20:47:55
21,React Native,False,Biblioteca para desenvolvimento de aplicativos móveis com React.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg,2025-04-02 20:47:55
22,Next.js,False,Framework React para construção de aplicações web.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/next.svg,2025-04-02 20:47:55
23,Prisma,False,ORM para Node.js e TypeScript com suporte a diversos bancos de dados.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/prisma.svg,2025-04-02 20:47:55
24,Supabase,False,Plataforma open-source para desenvolvimento de aplicativos web e APIs.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/supabase.svg,2025-04-02 20:47:55
25,Tailwind CSS,False,Framework CSS para construção de interfaces de usuário.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/tailwind.svg,2025-04-02 20:47:55
26,Flutter,True,Framework para desenvolvimento de aplicativos móveis nativos.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/flutter.svg,2025-04-02 20:47:55
27,PHP,False,Linguagem de programação de uso geral.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/php.svg,2025-04-02 20:47:55
28,ChatGPT,False,API de conversação baseada em GPT-3.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/openai.svg,2025-04-02 20:47:55
29,Dart,False,Linguagem de programação para desenvolvimento de aplicativos móveis com Flutter.,https://github.com/portfolio-projetos-dev/assets/raw/main/images/dart.svg,2025-04-02 20:47:55
